sample,correlation
P-0000421-T01-IM3,1.0
P-0000219-T01-IM3,0.9999994366788336
P-0000625-T01-IM3,0.999996603968182
P-0001162-T01-IM3,0.99999313953696
P-0000239-T01-IM3,0.9999904534362388
P-0000638-T01-IM3,0.9999612858258246
P-0000483-T01-IM3,0.9999373556323424
P-0000431-T01-IM3,0.9999264929045547
P-0000405-T01-IM3,0.9998943345375311
P-0000036-T01-IM3,0.9998681452545185
P-0000703-T01-IM3,0.9998638983157256
P-0000260-T01-IM3,0.9998593382465412
P-0000168-T01-IM3,0.99985591794085
P-0000630-T01-IM3,0.9998434974580341
P-0000635-T01-IM3,0.9998271449326469
P-0000604-T01-IM3,0.999778981411283
P-0001032-T01-IM3,0.9992334806870974
P-0000858-T01-IM3,0.9992245127144433
P-0000422-T01-IM3,0.9991147315908443
P-0001010-T01-IM3,0.999052230296761
P-0000058-T01-IM3,0.9989912014560456
P-0000504-T01-IM3,0.9984886079316821
P-0000603-T01-IM3,0.9983537428353524
P-0001340-T01-IM3,0.9983385818906498
P-0001200-T01-IM3,0.9979340023557915
P-0000511-T01-IM3,0.9977190345471871
P-0000152-T01-IM3,0.9975974204992502
P-0001206-T01-IM3,0.9974510198176025
P-0000912-T01-IM3,0.9974438050388182
P-0000683-T01-IM3,0.9973719108328005
P-0000798-T01-IM3,0.9972647326190683
P-0000691-T01-IM3,0.9970765004302261
P-0000678-T01-IM3,0.9970763935508304
P-0000754-T01-IM3,0.9966652536494889
P-0001175-T01-IM3,0.9964567308059942
P-0000093-T01-IM3,0.9962708430368735
P-0000935-T01-IM3,0.9961346593117334
P-0000825-T01-IM3,0.99589060333335
P-0001131-T01-IM3,0.9955521351094228
P-0001242-T01-IM3,0.9955037277227866
P-0000714-T01-IM3,0.995452542536006
P-0000442-T01-IM3,0.9948744530582375
P-0000669-T01-IM3,0.9945426682386633
P-0001017-T01-IM3,0.9943203011982534
P-0000119-T01-IM3,0.9939956964022267
P-0001079-T01-IM3,0.9938597515047082
P-0003939-T01-IM3,0.9935425087902809
P-0000274-T01-IM3,0.9935333694307099
P-0000505-T01-IM3,0.9933316706381753
P-0001257-T01-IM3,0.993246914904652
P-0000671-T01-IM3,0.9931820369559498
P-0000871-T01-IM3,0.9930148408495525
P-0000561-T01-IM3,0.9924040632901514
P-0000562-T01-IM3,0.9922498933763136
P-0001296-T01-IM3,0.9921635849845991
P-0000933-T01-IM3,0.9919841384905064
P-0000745-T01-IM3,0.9913883848450472
P-0001536-T01-IM3,0.990858829326642
P-0000607-T01-IM3,0.9908071255829577
P-0001337-T01-IM3,0.9907740576389349
P-0000725-T01-IM3,0.9906125960388874
P-0000763-T01-IM3,0.9904091623051179
P-0000656-T01-IM3,0.9904086257214466
P-0000441-T01-IM3,0.9902980366702271
P-0000641-T01-IM3,0.9901541386631758
P-0000315-T01-IM3,0.9899948877430461
P-0001141-T01-IM3,0.9899904567350185
P-0000521-T01-IM3,0.9897882440689793
P-0000868-T01-IM3,0.9896489970439997
P-0001097-T01-IM3,0.9890897581538111
P-0001325-T01-IM3,0.9890198585195882
P-0000495-T01-IM3,0.9888022955627991
P-0000854-T01-IM3,0.988248259666931
P-0000247-T01-IM3,0.9882108340902631
P-0000392-T01-IM3,0.9881132228064876
P-0000478-T01-IM3,0.9881082167636304
P-0000107-T01-IM3,0.9878610693839491
P-0000979-T01-IM3,0.9872174510986396
P-0003960-T01-IM3,0.9869345624157693
P-0000197-T01-IM3,0.9869197107383137
P-0000897-T01-IM3,0.986824395220005
P-0001813-T01-IM3,0.9868132750712553
P-0000463-T01-IM3,0.9865204507672405
P-0000242-T01-IM3,0.9862936384820437
P-0000426-T01-IM3,0.9861897074584884
P-0000318-T01-IM3,0.985949225798327
P-0000984-T01-IM3,0.9854323976965449
P-0000520-T01-IM3,0.9850752006770643
P-0001332-T01-IM3,0.9849995275160661
P-0001037-T01-IM3,0.9848087866454253
P-0000195-T01-IM3,0.9847398043892455
P-0000349-T01-IM3,0.9845627856587881
P-0004023-T01-IM3,0.9844104581376687
P-0000317-T01-IM3,0.9839275259017677
P-0000687-T01-IM3,0.9839034400443903
P-0000235-T01-IM3,0.9838782898124256
P-0001312-T01-IM3,0.9837661995459966
P-0000990-T02-IM3,0.9831693167546587
P-0001061-T01-IM3,0.9829495594594801
P-0000702-T01-IM3,0.9828566604410321
P-0000989-T01-IM3,0.9824143835843556
P-0001984-T01-IM3,0.9822609484314364
P-0000183-T01-IM3,0.982020544088825
P-0000526-T01-IM3,0.9818953207648086
P-0000783-T01-IM3,0.9817502861465253
P-0000921-T01-IM3,0.9816670753002009
P-0001354-T01-IM3,0.980758175952806
P-0001297-T01-IM3,0.9803620394472052
P-0000335-T01-IM3,0.9801297686863729
P-0001168-T01-IM3,0.9796472704903133
P-0001620-T01-IM3,0.9790222568019533
P-0000842-T01-IM3,0.9789912143430004
P-0000584-T01-IM3,0.9788052428177197
P-0001208-T01-IM3,0.9785895039792162
P-0000731-T01-IM3,0.9785887411760523
P-0001189-T01-IM3,0.9777031442797077
P-0000241-T01-IM3,0.9773075743052229
P-0000522-T01-IM3,0.9772047328978862
P-0000098-T01-IM3,0.9763042541806256
P-0001341-T01-IM3,0.9750282687120491
P-0000900-T01-IM3,0.9744694584433796
P-0003958-T01-IM3,0.9744686781315496
P-0001121-T01-IM3,0.9744606406285191
P-0000252-T01-IM3,0.9738778169893024
P-0000473-T01-IM3,0.9735888227517716
P-0000585-T01-IM3,0.9732164084124779
P-0000592-T01-IM3,0.9732121017414314
P-0001290-T01-IM3,0.97287229711584
P-0000532-T01-IM3,0.9728550525657966
P-0000655-T01-IM3,0.9721491168003461
P-0000110-T01-IM3,0.9709787842069639
P-0000595-T01-IM3,0.9707132656295141
P-0002139-T01-IM3,0.9704224679685354
P-0000628-T01-IM3,0.9694989012783404
P-0000423-T02-IM3,0.9692912178694983
P-0001328-T01-IM3,0.9689721986414129
P-0001314-T01-IM3,0.9682135420753449
P-0000894-T01-IM3,0.9659484092615052
P-0004474-T01-IM5,0.9649175676073424
P-0000120-T01-IM3,0.9644374748548747
P-0003974-T01-IM3,0.9625373078316888
P-0000831-T01-IM3,0.9620927639589052
P-0003961-T01-IM3,0.9615384992897322
P-0000998-T01-IM3,0.9613983580058757
P-0000435-T01-IM3,0.9607311304934985
P-0000721-T01-IM3,0.9590232195433211
P-0001390-T01-IM3,0.9571114382711204
P-0000873-T01-IM3,0.9567908384023758
P-0000973-T01-IM3,0.9543421093247332
P-0001118-T01-IM3,0.9526103963964259
P-0001909-T01-IM3,0.9518491217632746
P-0000214-T01-IM3,0.9511085652438056
P-0001237-T01-IM3,0.9505215597949794
P-0000395-T01-IM3,0.9498719979050921
P-0001166-T01-IM3,0.9478236124460745
P-0001316-T01-IM3,0.9467889561707036
P-0000012-T03-IM3,0.9415369440261169
P-0000606-T01-IM3,0.9413133138082054
P-0000830-T01-IM3,0.9380242058139824
P-0000445-T01-IM3,0.9358768272041992
P-0000806-T01-IM3,0.9326811131795385
P-0000418-T01-IM3,0.9302200140663099
P-0000057-T01-IM3,0.9291104017224068
P-0001247-T01-IM3,0.9280841430951664
P-0000563-T01-IM3,0.9265581538388155
P-0001269-T01-IM3,0.926177717677622
P-0001300-T01-IM3,0.9236835119478543
P-0000676-T01-IM3,0.9232010025394358
P-0000316-T01-IM3,0.9214162619046569
P-0000066-T01-IM3,0.9199013145685092
P-0001150-T01-IM3,0.9168353220136428
P-0000552-T01-IM3,0.9139504977045121
P-0000082-T01-IM3,0.9139110152129336
P-0000149-T01-IM3,0.9108917503436939
P-0000447-T01-IM3,0.9094107957658931
P-0000208-T01-IM3,0.9020963718565982
P-0001278-T01-IM3,0.9017310443759401
P-0001184-T01-IM3,0.8996288819854501
P-0001305-T01-IM3,0.8990486282007415
P-0000388-T01-IM3,0.8989569595256085
P-0000597-T01-IM3,0.8977870411973533
P-0000104-T01-IM3,0.8921640139619016
P-0001078-T01-IM3,0.8838747748979395
P-0000737-T01-IM3,0.8788791277735284
P-0000541-T01-IM3,0.8717430378805497
P-0004001-T01-IM3,0.8655305712979019
P-0000380-T01-IM3,0.8587166984877107
P-0000468-T01-IM3,0.855266125906992
P-0001043-T01-IM3,0.8470175201971426
P-0000739-T01-IM3,0.842764992856397
P-0000864-T01-IM3,0.8420644040556431
P-0000126-T01-IM3,0.8357954307723345
P-0004486-T01-IM5,0.8304544138432224
P-0000969-T01-IM3,0.8180919000886789
P-0000994-T01-IM3,0.8151345198058301
P-0002124-T01-IM3,0.8055816337156214
P-0000493-T01-IM3,0.7919431385749957
P-0001441-T01-IM3,0.7802972836590224
P-0000275-T01-IM3,0.7798602173097597
P-0001138-T01-IM3,0.7664077680893988
